YearsOfExperience,AnnualSalary
0.1,30100
0.1,32209
0.3,31880
0.4,33342
0.5,32308
0.5,33417
0.5,34907
0.7,36765
0.9,37311
1,37006
1,41254
1,38761
1.1,39343
1.3,46205
1.4,43509
1.5,43121
1.5,37731
1.7,44487
1.8,38031
1.8,39723
2,43525
2.2,40408
2.2,39891
2.2,41000
2.4,47651
2.7,48566
2.7,53007
2.9,56642
3,60150
3,55872
3.2,54445
3.2,64445
3.4,60906
3.5,52134
3.7,57189
3.9,63218
4,55794
4,56957
4.1,57081
4.1,59000
4.3,65348
4.5,61111
4.8,70986
4.9,67938
5,63290
5.1,66029
5.3,83088
5.4,80653
5.6,74587
5.7,73124
5.9,81363
5.9,75809
6,93940
6.1,87543
6.1,88567
6.2,94674
6.2,92607
6.5,88907
6.8,91738
7,95076
7,97512
7.1,98273
7.3,90006
7.5,91276
7.5,96453
7.7,100532
7.9,101302
8,103456
8,104500
8,101231
8.2,113812
8.4,107061
8.6,108880
8.7,109431
8.8,102263
9,105582
9.1,110965
9.5,116969
9.6,112635
9.6,111544
9.6,117909
9.8,118743
9.9,116533
10,120006
10.1,121387
10.3,122391
10.3,116587
10.5,121872
10.5,119807
10.7,124355
11,127087
11.1,132576
11.3,133076
11.3,128501
11.5,138700
11.6,135789
11.8,136008
11.9,139867
12,140087
12,141230