,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,danceability_st_scale,loudness_st_scale,loudness_power_transform,loudness_quantile_transform,mode_st_scale,mode_power_transform,mode_quantile_transform,speechiness_st_scale,speechiness_power_transform,speechiness_quantile_transform,instrumentalness_st_scale,instrumentalness_power_transform,instrumentalness_quantile_transform,liveness_st_scale,liveness_power_transform,liveness_quantile_transform,duration_ms_st_scale,duration_ms_power_transform,duration_ms_quantile_transform,time_signature_st_scale,time_signature_power_transform,time_signature_quantile_transform,popularity_st_scale,popularity_power_transform,popularity_quantile_transform,loudness_st_scale_st_scale,loudness_st_scale_power_transform,loudness_st_scale_quantile_transform
danceability,1.0,0.196,0.0207,0.4039,-0.0596,0.2188,-0.2535,-0.2916,-0.1865,0.5449,-0.0272,-0.1267,0.2223,0.1222,1.0,0.4039,0.3593,0.3448,-0.0596,-0.0596,-0.0596,0.2188,0.2587,0.2278,-0.2916,-0.2891,-0.2875,-0.1865,-0.1444,-0.132,-0.1267,-0.1165,-0.1153,0.2223,0.1551,0.2374,0.1222,0.1263,0.1498,0.4039,0.3608,0.3448
energy,0.196,1.0,0.0229,0.6031,-0.1,0.1612,-0.747,-0.2506,0.2637,0.4405,0.1353,0.008,0.1427,0.2532,0.196,0.6031,0.6975,0.7251,-0.1,-0.1,-0.1,0.1612,0.2529,0.2467,-0.2506,-0.2578,-0.2555,0.2637,0.2163,0.1944,0.008,0.0254,0.0082,0.1427,0.1195,0.1645,0.2532,0.2571,0.2672,0.6031,0.7045,0.7251
key,0.0207,0.0229,1.0,0.0337,-0.1329,0.0382,-0.0125,0.0163,0.0258,0.0333,0.0293,-0.0366,0.0011,-0.0053,0.0207,0.0337,0.0243,0.0203,-0.1329,-0.1329,-0.1329,0.0382,0.0343,0.0301,0.0163,0.0107,0.0022,0.0258,0.0319,0.0307,-0.0366,-0.0365,-0.0347,0.0011,-0.0013,0.0008,-0.0053,-0.0051,0.0001,0.0337,0.0241,0.0203
loudness,0.4039,0.6031,0.0337,1.0,-0.0407,0.1211,-0.5466,-0.5876,-0.1176,0.4552,0.1553,0.1115,0.183,0.284,0.4039,1.0,0.9354,0.8987,-0.0407,-0.0407,-0.0407,0.1211,0.1207,0.077,-0.5876,-0.5629,-0.523,-0.1176,-0.0131,-0.0018,0.1115,0.1367,0.1391,0.183,0.1322,0.1895,0.284,0.2927,0.3292,1.0,0.9358,0.8987
mode,-0.0596,-0.1,-0.1329,-0.0407,1.0,-0.1242,0.0971,-0.0361,-0.0537,-0.0053,0.0038,0.0374,-0.0464,-0.0232,-0.0596,-0.0407,-0.053,-0.0578,1.0,1.0,1.0,-0.1242,-0.1489,-0.1491,-0.0361,-0.0394,-0.0319,-0.0537,-0.0578,-0.0563,0.0374,0.0416,0.0456,-0.0464,-0.0478,-0.051,-0.0232,-0.0224,-0.0223,-0.0407,-0.0543,-0.0578
speechiness,0.2188,0.1612,0.0382,0.1211,-0.1242,1.0,-0.1716,-0.0956,0.0761,0.1474,0.0687,-0.1266,0.0466,0.036,0.2188,0.1211,0.1327,0.1381,-0.1242,-0.1242,-0.1242,1.0,0.7834,0.6592,-0.0956,-0.1258,-0.2229,0.0761,0.0605,0.0577,-0.1266,-0.1331,-0.1315,0.0466,0.0637,0.0779,0.036,0.0347,0.0246,0.1211,0.134,0.1381
acousticness,-0.2535,-0.747,-0.0125,-0.5466,0.0971,-0.1716,1.0,0.2789,-0.1142,-0.3539,-0.1241,-0.0554,-0.1513,-0.249,-0.2535,-0.5466,-0.6034,-0.6301,0.0971,0.0971,0.0971,-0.1716,-0.2311,-0.2076,0.2789,0.2812,0.2679,-0.1142,-0.1101,-0.1016,-0.0554,-0.071,-0.059,-0.1513,-0.1179,-0.1642,-0.249,-0.254,-0.2712,-0.5466,-0.6114,-0.6301
instrumentalness,-0.2916,-0.2506,0.0163,-0.5876,-0.0361,-0.0956,0.2789,1.0,0.0992,-0.3283,-0.1172,-0.1863,-0.1078,-0.2747,-0.2916,-0.5876,-0.5262,-0.5061,-0.0361,-0.0361,-0.0361,-0.0956,-0.0806,-0.0525,1.0,0.9391,0.7061,0.0992,0.0275,0.0146,-0.1863,-0.2245,-0.2204,-0.1078,-0.0705,-0.1001,-0.2747,-0.2842,-0.3118,-0.5876,-0.5272,-0.5061
liveness,-0.1865,0.2637,0.0258,-0.1176,-0.0537,0.0761,-0.1142,0.0992,1.0,-0.0595,-0.0234,-0.0844,-0.0765,0.033,-0.1865,-0.1176,-0.0353,-0.0036,-0.0537,-0.0537,-0.0537,0.0761,0.126,0.1411,0.0992,0.0796,0.0511,1.0,0.8359,0.7538,-0.0844,-0.0897,-0.1063,-0.0765,-0.0598,-0.0766,0.033,0.0299,0.0084,-0.1176,-0.0324,-0.0036
valence,0.5449,0.4405,0.0333,0.4552,-0.0053,0.1474,-0.3539,-0.3283,-0.0595,1.0,0.0964,-0.1161,0.1742,0.1499,0.5449,0.4552,0.4577,0.4527,-0.0053,-0.0053,-0.0053,0.1474,0.1755,0.16,-0.3283,-0.3269,-0.3156,-0.0595,-0.0308,-0.0279,-0.1161,-0.1054,-0.109,0.1742,0.1341,0.1943,0.1499,0.1544,0.1736,0.4552,0.4597,0.4527
tempo,-0.0272,0.1353,0.0293,0.1553,0.0038,0.0687,-0.1241,-0.1172,-0.0234,0.0964,1.0,0.0463,-0.0386,0.0334,-0.0272,0.1553,0.1465,0.138,0.0038,0.0038,0.0038,0.0687,0.0807,0.0886,-0.1172,-0.0888,-0.0696,-0.0234,0.0055,0.016,0.0463,0.0508,0.0469,-0.0386,-0.0515,-0.0692,0.0334,0.0349,0.0402,0.1553,0.1459,0.138
duration_ms,-0.1267,0.008,-0.0366,0.1115,0.0374,-0.1266,-0.0554,-0.1863,-0.0844,-0.1161,0.0463,1.0,0.0216,0.0713,-0.1267,0.1115,0.08,0.0707,0.0374,0.0374,0.0374,-0.1266,-0.1829,-0.1961,-0.1863,-0.1348,-0.0322,-0.0844,-0.077,-0.0679,1.0,0.9857,0.9298,0.0216,0.0099,0.0079,0.0713,0.0748,0.0869,0.1115,0.0795,0.0707
time_signature,0.2223,0.1427,0.0011,0.183,-0.0464,0.0466,-0.1513,-0.1078,-0.0765,0.1742,-0.0386,0.0216,1.0,0.0213,0.2223,0.183,0.1699,0.1665,-0.0464,-0.0464,-0.0464,0.0466,0.0584,0.0567,-0.1078,-0.1176,-0.1241,-0.0765,-0.0509,-0.039,0.0216,0.0271,0.0263,1.0,0.8956,0.9158,0.0213,0.0224,0.0303,0.183,0.1712,0.1665
popularity,0.1222,0.2532,-0.0053,0.284,-0.0232,0.036,-0.249,-0.2747,0.033,0.1499,0.0334,0.0713,0.0213,1.0,0.1222,0.284,0.2912,0.3003,-0.0232,-0.0232,-0.0232,0.036,0.0562,0.0505,-0.2747,-0.2656,-0.2275,0.033,0.0416,0.0347,0.0713,0.084,0.0776,0.0213,0.0063,0.0155,1.0,0.999,0.9501,0.284,0.2951,0.3003
danceability_st_scale,1.0,0.196,0.0207,0.4039,-0.0596,0.2188,-0.2535,-0.2916,-0.1865,0.5449,-0.0272,-0.1267,0.2223,0.1222,1.0,0.4039,0.3593,0.3448,-0.0596,-0.0596,-0.0596,0.2188,0.2587,0.2278,-0.2916,-0.2891,-0.2875,-0.1865,-0.1444,-0.132,-0.1267,-0.1165,-0.1153,0.2223,0.1551,0.2374,0.1222,0.1263,0.1498,0.4039,0.3608,0.3448
loudness_st_scale,0.4039,0.6031,0.0337,1.0,-0.0407,0.1211,-0.5466,-0.5876,-0.1176,0.4552,0.1553,0.1115,0.183,0.284,0.4039,1.0,0.9354,0.8987,-0.0407,-0.0407,-0.0407,0.1211,0.1207,0.077,-0.5876,-0.5629,-0.523,-0.1176,-0.0131,-0.0018,0.1115,0.1367,0.1391,0.183,0.1322,0.1895,0.284,0.2927,0.3292,1.0,0.9358,0.8987
loudness_power_transform,0.3593,0.6975,0.0243,0.9354,-0.053,0.1327,-0.6034,-0.5262,-0.0353,0.4577,0.1465,0.08,0.1699,0.2912,0.3593,0.9354,1.0,0.9801,-0.053,-0.053,-0.053,0.1327,0.1605,0.1287,-0.5262,-0.5223,-0.5146,-0.0353,0.0315,0.0321,0.08,0.1055,0.1016,0.1699,0.1243,0.1792,0.2912,0.2992,0.3325,0.9354,0.9984,0.9801
loudness_quantile_transform,0.3448,0.7251,0.0203,0.8987,-0.0578,0.1381,-0.6301,-0.5061,-0.0036,0.4527,0.138,0.0707,0.1665,0.3003,0.3448,0.8987,0.9801,1.0,-0.0578,-0.0578,-0.0578,0.1381,0.1733,0.1442,-0.5061,-0.5115,-0.519,-0.0036,0.0501,0.0485,0.0707,0.0962,0.0888,0.1665,0.1225,0.1769,0.3003,0.308,0.3389,0.8987,0.9887,1.0
mode_st_scale,-0.0596,-0.1,-0.1329,-0.0407,1.0,-0.1242,0.0971,-0.0361,-0.0537,-0.0053,0.0038,0.0374,-0.0464,-0.0232,-0.0596,-0.0407,-0.053,-0.0578,1.0,1.0,1.0,-0.1242,-0.1489,-0.1491,-0.0361,-0.0394,-0.0319,-0.0537,-0.0578,-0.0563,0.0374,0.0416,0.0456,-0.0464,-0.0478,-0.051,-0.0232,-0.0224,-0.0223,-0.0407,-0.0543,-0.0578
mode_power_transform,-0.0596,-0.1,-0.1329,-0.0407,1.0,-0.1242,0.0971,-0.0361,-0.0537,-0.0053,0.0038,0.0374,-0.0464,-0.0232,-0.0596,-0.0407,-0.053,-0.0578,1.0,1.0,1.0,-0.1242,-0.1489,-0.1491,-0.0361,-0.0394,-0.0319,-0.0537,-0.0578,-0.0563,0.0374,0.0416,0.0456,-0.0464,-0.0478,-0.051,-0.0232,-0.0224,-0.0223,-0.0407,-0.0543,-0.0578
mode_quantile_transform,-0.0596,-0.1,-0.1329,-0.0407,1.0,-0.1242,0.0971,-0.0361,-0.0537,-0.0053,0.0038,0.0374,-0.0464,-0.0232,-0.0596,-0.0407,-0.053,-0.0578,1.0,1.0,1.0,-0.1242,-0.1489,-0.1491,-0.0361,-0.0394,-0.0319,-0.0537,-0.0578,-0.0563,0.0374,0.0416,0.0456,-0.0464,-0.0478,-0.051,-0.0232,-0.0224,-0.0223,-0.0407,-0.0543,-0.0578
speechiness_st_scale,0.2188,0.1612,0.0382,0.1211,-0.1242,1.0,-0.1716,-0.0956,0.0761,0.1474,0.0687,-0.1266,0.0466,0.036,0.2188,0.1211,0.1327,0.1381,-0.1242,-0.1242,-0.1242,1.0,0.7834,0.6592,-0.0956,-0.1258,-0.2229,0.0761,0.0605,0.0577,-0.1266,-0.1331,-0.1315,0.0466,0.0637,0.0779,0.036,0.0347,0.0246,0.1211,0.134,0.1381
speechiness_power_transform,0.2587,0.2529,0.0343,0.1207,-0.1489,0.7834,-0.2311,-0.0806,0.126,0.1755,0.0807,-0.1829,0.0584,0.0562,0.2587,0.1207,0.1605,0.1733,-0.1489,-0.1489,-0.1489,0.7834,1.0,0.9538,-0.0806,-0.123,-0.2207,0.126,0.0931,0.0851,-0.1829,-0.1925,-0.2011,0.0584,0.0779,0.095,0.0562,0.0552,0.0451,0.1207,0.1628,0.1733
speechiness_quantile_transform,0.2278,0.2467,0.0301,0.077,-0.1491,0.6592,-0.2076,-0.0525,0.1411,0.16,0.0886,-0.1961,0.0567,0.0505,0.2278,0.077,0.1287,0.1442,-0.1491,-0.1491,-0.1491,0.6592,0.9538,1.0,-0.0525,-0.0966,-0.1947,0.1411,0.0964,0.0857,-0.1961,-0.2059,-0.219,0.0567,0.0789,0.092,0.0505,0.049,0.0362,0.077,0.1311,0.1442
instrumentalness_st_scale,-0.2916,-0.2506,0.0163,-0.5876,-0.0361,-0.0956,0.2789,1.0,0.0992,-0.3283,-0.1172,-0.1863,-0.1078,-0.2747,-0.2916,-0.5876,-0.5262,-0.5061,-0.0361,-0.0361,-0.0361,-0.0956,-0.0806,-0.0525,1.0,0.9391,0.7061,0.0992,0.0275,0.0146,-0.1863,-0.2245,-0.2204,-0.1078,-0.0705,-0.1001,-0.2747,-0.2842,-0.3118,-0.5876,-0.5272,-0.5061
instrumentalness_power_transform,-0.2891,-0.2578,0.0107,-0.5629,-0.0394,-0.1258,0.2812,0.9391,0.0796,-0.3269,-0.0888,-0.1348,-0.1176,-0.2656,-0.2891,-0.5629,-0.5223,-0.5115,-0.0394,-0.0394,-0.0394,-0.1258,-0.123,-0.0966,0.9391,1.0,0.7733,0.0796,0.0177,0.0088,-0.1348,-0.1709,-0.1682,-0.1176,-0.0799,-0.1117,-0.2656,-0.2737,-0.2973,-0.5629,-0.5248,-0.5115
instrumentalness_quantile_transform,-0.2875,-0.2555,0.0022,-0.523,-0.0319,-0.2229,0.2679,0.7061,0.0511,-0.3156,-0.0696,-0.0322,-0.1241,-0.2275,-0.2875,-0.523,-0.5146,-0.519,-0.0319,-0.0319,-0.0319,-0.2229,-0.2207,-0.1947,0.7061,0.7733,1.0,0.0511,0.0003,-0.0058,-0.0322,-0.0633,-0.056,-0.1241,-0.0957,-0.1245,-0.2275,-0.2332,-0.248,-0.523,-0.5198,-0.519
liveness_st_scale,-0.1865,0.2637,0.0258,-0.1176,-0.0537,0.0761,-0.1142,0.0992,1.0,-0.0595,-0.0234,-0.0844,-0.0765,0.033,-0.1865,-0.1176,-0.0353,-0.0036,-0.0537,-0.0537,-0.0537,0.0761,0.126,0.1411,0.0992,0.0796,0.0511,1.0,0.8359,0.7538,-0.0844,-0.0897,-0.1063,-0.0765,-0.0598,-0.0766,0.033,0.0299,0.0084,-0.1176,-0.0324,-0.0036
liveness_power_transform,-0.1444,0.2163,0.0319,-0.0131,-0.0578,0.0605,-0.1101,0.0275,0.8359,-0.0308,0.0055,-0.077,-0.0509,0.0416,-0.1444,-0.0131,0.0315,0.0501,-0.0578,-0.0578,-0.0578,0.0605,0.0931,0.0964,0.0275,0.0177,0.0003,0.8359,1.0,0.9658,-0.077,-0.0798,-0.0916,-0.0509,-0.0393,-0.052,0.0416,0.0393,0.0218,-0.0131,0.0338,0.0501
liveness_quantile_transform,-0.132,0.1944,0.0307,-0.0018,-0.0563,0.0577,-0.1016,0.0146,0.7538,-0.0279,0.016,-0.0679,-0.039,0.0347,-0.132,-0.0018,0.0321,0.0485,-0.0563,-0.0563,-0.0563,0.0577,0.0851,0.0857,0.0146,0.0088,-0.0058,0.7538,0.9658,1.0,-0.0679,-0.0714,-0.0817,-0.039,-0.0274,-0.0386,0.0347,0.0327,0.018,-0.0018,0.0343,0.0485
duration_ms_st_scale,-0.1267,0.008,-0.0366,0.1115,0.0374,-0.1266,-0.0554,-0.1863,-0.0844,-0.1161,0.0463,1.0,0.0216,0.0713,-0.1267,0.1115,0.08,0.0707,0.0374,0.0374,0.0374,-0.1266,-0.1829,-0.1961,-0.1863,-0.1348,-0.0322,-0.0844,-0.077,-0.0679,1.0,0.9857,0.9298,0.0216,0.0099,0.0079,0.0713,0.0748,0.0869,0.1115,0.0795,0.0707
duration_ms_power_transform,-0.1165,0.0254,-0.0365,0.1367,0.0416,-0.1331,-0.071,-0.2245,-0.0897,-0.1054,0.0508,0.9857,0.0271,0.084,-0.1165,0.1367,0.1055,0.0962,0.0416,0.0416,0.0416,-0.1331,-0.1925,-0.2059,-0.2245,-0.1709,-0.0633,-0.0897,-0.0798,-0.0714,0.9857,1.0,0.9515,0.0271,0.0116,0.0114,0.084,0.088,0.102,0.1367,0.1051,0.0962
duration_ms_quantile_transform,-0.1153,0.0082,-0.0347,0.1391,0.0456,-0.1315,-0.059,-0.2204,-0.1063,-0.109,0.0469,0.9298,0.0263,0.0776,-0.1153,0.1391,0.1016,0.0888,0.0456,0.0456,0.0456,-0.1315,-0.2011,-0.219,-0.2204,-0.1682,-0.056,-0.1063,-0.0916,-0.0817,0.9298,0.9515,1.0,0.0263,0.0132,0.0123,0.0776,0.0818,0.0987,0.1391,0.1006,0.0888
time_signature_st_scale,0.2223,0.1427,0.0011,0.183,-0.0464,0.0466,-0.1513,-0.1078,-0.0765,0.1742,-0.0386,0.0216,1.0,0.0213,0.2223,0.183,0.1699,0.1665,-0.0464,-0.0464,-0.0464,0.0466,0.0584,0.0567,-0.1078,-0.1176,-0.1241,-0.0765,-0.0509,-0.039,0.0216,0.0271,0.0263,1.0,0.8956,0.9158,0.0213,0.0224,0.0303,0.183,0.1712,0.1665
time_signature_power_transform,0.1551,0.1195,-0.0013,0.1322,-0.0478,0.0637,-0.1179,-0.0705,-0.0598,0.1341,-0.0515,0.0099,0.8956,0.0063,0.1551,0.1322,0.1243,0.1225,-0.0478,-0.0478,-0.0478,0.0637,0.0779,0.0789,-0.0705,-0.0799,-0.0957,-0.0598,-0.0393,-0.0274,0.0099,0.0116,0.0132,0.8956,1.0,0.9496,0.0063,0.0065,0.0075,0.1322,0.1254,0.1225
time_signature_quantile_transform,0.2374,0.1645,0.0008,0.1895,-0.051,0.0779,-0.1642,-0.1001,-0.0766,0.1943,-0.0692,0.0079,0.9158,0.0155,0.2374,0.1895,0.1792,0.1769,-0.051,-0.051,-0.051,0.0779,0.095,0.092,-0.1001,-0.1117,-0.1245,-0.0766,-0.052,-0.0386,0.0079,0.0114,0.0123,0.9158,0.9496,1.0,0.0155,0.0163,0.0211,0.1895,0.1808,0.1769
popularity_st_scale,0.1222,0.2532,-0.0053,0.284,-0.0232,0.036,-0.249,-0.2747,0.033,0.1499,0.0334,0.0713,0.0213,1.0,0.1222,0.284,0.2912,0.3003,-0.0232,-0.0232,-0.0232,0.036,0.0562,0.0505,-0.2747,-0.2656,-0.2275,0.033,0.0416,0.0347,0.0713,0.084,0.0776,0.0213,0.0063,0.0155,1.0,0.999,0.9501,0.284,0.2951,0.3003
popularity_power_transform,0.1263,0.2571,-0.0051,0.2927,-0.0224,0.0347,-0.254,-0.2842,0.0299,0.1544,0.0349,0.0748,0.0224,0.999,0.1263,0.2927,0.2992,0.308,-0.0224,-0.0224,-0.0224,0.0347,0.0552,0.049,-0.2842,-0.2737,-0.2332,0.0299,0.0393,0.0327,0.0748,0.088,0.0818,0.0224,0.0065,0.0163,0.999,1.0,0.9614,0.2927,0.303,0.308
popularity_quantile_transform,0.1498,0.2672,0.0001,0.3292,-0.0223,0.0246,-0.2712,-0.3118,0.0084,0.1736,0.0402,0.0869,0.0303,0.9501,0.1498,0.3292,0.3325,0.3389,-0.0223,-0.0223,-0.0223,0.0246,0.0451,0.0362,-0.3118,-0.2973,-0.248,0.0084,0.0218,0.018,0.0869,0.102,0.0987,0.0303,0.0075,0.0211,0.9501,0.9614,1.0,0.3292,0.3361,0.3389
loudness_st_scale_st_scale,0.4039,0.6031,0.0337,1.0,-0.0407,0.1211,-0.5466,-0.5876,-0.1176,0.4552,0.1553,0.1115,0.183,0.284,0.4039,1.0,0.9354,0.8987,-0.0407,-0.0407,-0.0407,0.1211,0.1207,0.077,-0.5876,-0.5629,-0.523,-0.1176,-0.0131,-0.0018,0.1115,0.1367,0.1391,0.183,0.1322,0.1895,0.284,0.2927,0.3292,1.0,0.9358,0.8987
loudness_st_scale_power_transform,0.3608,0.7045,0.0241,0.9358,-0.0543,0.134,-0.6114,-0.5272,-0.0324,0.4597,0.1459,0.0795,0.1712,0.2951,0.3608,0.9358,0.9984,0.9887,-0.0543,-0.0543,-0.0543,0.134,0.1628,0.1311,-0.5272,-0.5248,-0.5198,-0.0324,0.0338,0.0343,0.0795,0.1051,0.1006,0.1712,0.1254,0.1808,0.2951,0.303,0.3361,0.9358,1.0,0.9887
loudness_st_scale_quantile_transform,0.3448,0.7251,0.0203,0.8987,-0.0578,0.1381,-0.6301,-0.5061,-0.0036,0.4527,0.138,0.0707,0.1665,0.3003,0.3448,0.8987,0.9801,1.0,-0.0578,-0.0578,-0.0578,0.1381,0.1733,0.1442,-0.5061,-0.5115,-0.519,-0.0036,0.0501,0.0485,0.0707,0.0962,0.0888,0.1665,0.1225,0.1769,0.3003,0.308,0.3389,0.8987,0.9887,1.0
