artist,listeners,artisturl,totalscrobbles,latestreleaseurl,latestreleasename,popularthisweekurl,popularthisweekname,similarartistsurl,similarartistsnames,genres
Kumarion,"37,791",Kumarion,"244,733",/music/Kumarion/See+The+Sky+(feat.+TZAR)+-+Single,See The Sky (feat. TZAR) - Single,/music/Kumarion/_/Want+It,Want It,/music/Effin,Effin,/tag/seattle
BitterMilk,"22,624",BitterMilk,,,,,,/music/Lit+Lords,Lit Lords,/tag/united+states
Phe R.E.D.S,"17,315",Phe+R.E.D.S,,,,,,/music/Kaivon,Kaivon,/tag/bass+music
The Physics,"21,851",The+Physics,,,,,,,,/tag/dubstep
Phe Reds,"13,666",Phe+Reds,,,,,,,,/tag/drum+and+bass
Kings (MHM),"7,443",Kings+(MHM),"163,294",/music/BitterMilk/Simulation,Simulation,/music/BitterMilk/_/Superglue,Superglue,/music/Tippy+Balady,Tippy Balady,/tag/indie
Jay Loud,"12,562",Jay+Loud,,,,,,/music/Butterknife,Butterknife,/tag/indie+pop
The Maldives,"15,282",The+Maldives,,,,,,/music/BOYU,BOYU,/tag/synthpop
grynch,"17,969",grynch,,,,,,,,/tag/seattle
Gold Brother,"11,426",Gold+Brother,"150,145",/music/Phe+R.E.D.S/Closer,Closer,/music/Phe+R.E.D.S/_/Swing+My+Way,Swing My Way,/music/Phe+Reds,Phe Reds,/tag/rnb
Cherry Ferrari,"8,265",Cherry+Ferrari,,,,,,/music/MRSHLL,MRSHLL,/tag/seattle
Jarv Dee,"10,791",Jarv+Dee,,,,,,/music/Kenya+Fujita,Kenya Fujita,/tag/h1ghr+music
Visqueen,"7,782",Visqueen,"154,889",/music/The+Physics/I+Will+Find+You,I Will Find You,/music/The+Physics/_/On+Deck,On Deck,/music/grynch,grynch,/tag/seattle
Smokey Brights,"8,070",Smokey+Brights,,,,,,/music/Gabriel+Teodros,Gabriel Teodros,/tag/hip-hop
Sean Nelson,"2,643",Sean+Nelson,,,,,,/music/Dyme+Def,Dyme Def,/tag/jazz+hop
Fresh Espresso,"8,645",Fresh+Espresso,,,,,,,,/tag/underground+hip-hop
Lost Triibe,"7,655",Lost+Triibe,,,,,,,,/tag/hip+hop
Ten Commandos,"9,660",Ten+Commandos,"107,409",/music/Phe+Reds/Closer,Closer,/music/Phe+Reds/_/Senseless+(feat.+pH-1),Senseless (feat. pH-1),/music/Phe+R.E.D.S,Phe R.E.D.S,/tag/korean
Moon Fever,"10,412",Moon+Fever,,,,,,/music/Daryl+Kim,Daryl Kim,/tag/rnb
Hot Bodies in Motion,"6,699",Hot+Bodies+in+Motion,,,,,,/music/PARKHYUNJIN,PARKHYUNJIN,/tag/seattle
Nick Weaver,"7,418",Nick+Weaver,,,,,,,,/tag/k-rnb
,,,,,,,,,,/tag/h1ghrmusic
,,,"104,827",/music/Kings+(MHM)/Joy+Has+Dawned,Joy Has Dawned,/music/Kings+(MHM)/_/Come+Thou+Fount,Come Thou Fount,/music/Austin+Stone+Worship,Austin Stone Worship,/tag/usa
,,,,,,,,/music/Will+Reagan,Will Reagan,/tag/christian
,,,,,,,,/music/Joshua+Leventhal,Joshua Leventhal,/tag/seattle
,,,,,,,,,,/tag/america
,,,"84,465",/music/Jay+Loud/Move+On+%5BExplicit%5D,Move On [Explicit],/music/Jay+Loud/_/Narcos,Narcos,/music/Pyrex+Pryce,Pyrex Pryce,/tag/rap
,,,,,,,,/music/KT6900,KT6900,/tag/hip-hop
,,,,,,,,/music/Leeky+Bandz,Leeky Bandz,/tag/seattle
,,,"110,733",/music/The+Maldives/In+the+End+-+Single,In the End - Single,/music/The+Maldives/_/Go+Back+To+Virginia,Go Back To Virginia,/music/The+Moondoggies,The Moondoggies,/tag/alt-country
,,,,,,,,/music/Zoe+Muth+and+the+Lost+High+Rollers,Zoe Muth and the Lost High Rollers,/tag/all
,,,,,,,,/music/Visqueen,Visqueen,/tag/seattle
,,,,,,,,,,/tag/americana
,,,,,,,,,,/tag/northwest
,,,"116,527",/music/grynch/Born+in+%2786:+Addendum+%5BExplicit%5D,Born in &#39;86: Addendum [Explicit],/music/grynch/_/Born+in+%2786,Born in &#39;86,/music/Gabriel+Teodros,Gabriel Teodros,/tag/underground+hip-hop
,,,,,,,,/music/The+Physics,The Physics,/tag/seattle
,,,,,,,,/music/Dyme+Def,Dyme Def,/tag/hip-hop
,,,,,,,,,,/tag/rap
,,,,,,,,,,/tag/underground+rap
,,,"66,634",/music/Gold+Brother/Win+Win+-+Single,Win Win - Single,/music/Gold+Brother/_/Part+of+Me,Part of Me,/music/Klergy,Klergy,/tag/indie
,,,,,,,,/music/Reuben+And+The+Dark,Reuben And The Dark,/tag/alternative
,,,,,,,,/music/Bishop+Briggs,Bishop Briggs,/tag/seattle
,,,,,,,,,,/tag/linedance+2018
,,,,,,,,,,/tag/female+vocalists
,,,"58,978",/music/Cherry+Ferrari/Night+Before+-+Single,Night Before - Single,/music/Cherry+Ferrari/_/Night+Before,Night Before,/music/Berryblue,Berryblue,/tag/synthpop
,,,,,,,,/music/Jomm,Jomm,/tag/indie+pop
,,,,,,,,/music/Blue+Mena,Blue Mena,/tag/seattle
,,,"55,574",/music/Jarv+Dee/Beat+Drop,Beat Drop,/music/Jarv+Dee/_/Clouds,Clouds,/music/Brothers+from+Another,Brothers from Another,/tag/hip-hop
,,,,,,,,/music/Kyle+Bent,Kyle Bent,/tag/seattle
,,,,,,,,/music/Sam+Stan,Sam Stan,/tag/rap
,,,,,,,,,,/tag/usa
,,,,,,,,,,/tag/moor+gang
,,,"95,213",/music/Visqueen/Message+to+Garcia,Message to Garcia,/music/Visqueen/_/Vaxxine,Vaxxine,/music/Final+Spins,Final Spins,/tag/seattle
,,,,,,,,/music/The+Whore+Moans,The Whore Moans,/tag/rock
,,,,,,,,/music/The+Fucking+Eagles,The Fucking Eagles,/tag/alternative
,,,,,,,,,,/tag/punk+rock
,,,,,,,,,,/tag/power+pop
,,,"51,963",/music/Smokey+Brights/Hollow+Feeling+-+Single,Hollow Feeling - Single,/music/Smokey+Brights/_/Save+Us+Sarah,Save Us Sarah,/music/Murder+Vibes,Murder Vibes,/tag/seattle
,,,,,,,,/music/Rudy+Willingham,Rudy Willingham,/tag/preverb
,,,,,,,,/music/The+Young+Evils,The Young Evils,/tag/indie
,,,,,,,,,,/tag/power+pop
,,,,,,,,,,/tag/indie+pop
,,,"58,050",/music/Sean+Nelson/Viral+Love+-+Single,Viral Love - Single,/music/Sean+Nelson/_/Make+Good+Choices,Make Good Choices,/music/Harvey+Danger,Harvey Danger,/tag/alternative
,,,,,,,,/music/Racetrack,Racetrack,/tag/indie
,,,,,,,,/music/The+Long+Winters,The Long Winters,/tag/seattle
,,,,,,,,,,/tag/banned+by+spotify2017
,,,,,,,,,,/tag/covers
,,,"78,235",/music/Fresh+Espresso/On,On,/music/Fresh+Espresso/_/Diamond+Pistols,Diamond Pistols,/music/Mad+Rad,Mad Rad,/tag/hip-hop
,,,,,,,,/music/Gabriel+Teodros,Gabriel Teodros,/tag/hip+hop
,,,,,,,,/music/grynch,grynch,/tag/seattle
,,,,,,,,,,/tag/pop
,,,,,,,,,,/tag/2000s
,,,"46,444",/music/Lost+Triibe/Escape+EP,Escape EP,/music/Lost+Triibe/_/Clockwork,Clockwork,/music/Brothers+from+Another,Brothers from Another,/tag/indie
,,,,,,,,/music/B00TY,B00TY,/tag/electronic
,,,,,,,,/music/SWELO,SWELO,/tag/seattle
,,,"53,159",/music/Ten+Commandos/Ten+Commandos,Ten Commandos,/music/Ten+Commandos/_/Staring+Down+the+Dust+(feat.+Mark+Lanegan),Staring Down the Dust (feat. Mark Lanegan),/music/Matt+Cameron,Matt Cameron,/tag/rock
,,,,,,,,/music/Dolomite+Minor,Dolomite Minor,/tag/grunge
,,,,,,,,/music/HBS,HBS,/tag/seattle
,,,,,,,,,,/tag/united+states
,,,,,,,,,,/tag/mark+lanegan
,,,"39,765",/music/Moon+Fever/Forever+Sleep,Forever Sleep,/music/Moon+Fever/_/Nothing+Left+to+Lose,Nothing Left to Lose,/music/No+Fit+State,No Fit State,/tag/alternative
,,,,,,,,/music/South+Of+Eden,South Of Eden,/tag/seattle
,,,,,,,,/music/Them+Evils,Them Evils,
,,,"54,275",/music/Hot+Bodies+in+Motion/Fortune,Fortune,/music/Hot+Bodies+in+Motion/_/Old+Habits,Old Habits,/music/Pickwick,Pickwick,/tag/blues
,,,,,,,,/music/The+Black+Cadillacs,The Black Cadillacs,/tag/indie
,,,,,,,,/music/Leopold+and+His+Fiction,Leopold and His Fiction,/tag/indie+rock
,,,,,,,,,,/tag/blues+rock
,,,,,,,,,,/tag/garage+rock
,,,"46,226",/music/Nick+Weaver/Won%27t+Let+Go,Won&#39;t Let Go,/music/Nick+Weaver/_/Lamb+Man,Lamb Man,/music/Matt+Easton,Matt Easton,/tag/hip+hop
,,,,,,,,/music/Marc+Goone,Marc Goone,/tag/seattle
,,,,,,,,/music/Brothers+from+Another,Brothers from Another,/tag/genre:+hip-hop
